city,electoral_district,candidate,party,registration_date_roc,incumbent,roster_status,source_title,source_url,source_date
嘉義市,嘉義市第1選舉區,凌子楚,民主進步黨,115/08/31,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,吳宗泓,無黨籍,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,張敏琪,中國國民黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,林昱孜,台灣民眾黨,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,柯莉絲汀,無黨籍,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,梁樹綸,中國國民黨,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,洪斐昭,無黨籍,115/09/03,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,郭定緯,中國國民黨,115/09/03,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,郭文居,無黨籍,115/08/31,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,陳家平,中國國民黨,115/09/03,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,陳玥妗,小民參政歐巴 桑聯盟,115/09/01,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,顏翎熹,無黨籍,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,黃盈智,民主進步黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第1選舉區,黃露慧,民主進步黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,孫貫志,無黨籍,115/09/04,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,張秀華,中國國民黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,曾奕豪,民主進步黨,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,李忠曆,無黨籍,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,李明燦,無黨籍,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,林子淨,無黨籍,115/09/01,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,林煒軒,民主進步黨,115/08/31,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,林詩涵,小民參政歐巴 桑聯盟,115/09/01,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,王浩,無黨籍,115/08/31,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,蔡坤叡,無黨籍,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,蔡坤達,無黨籍,115/09/01,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,鄭光宏,中國國民黨,115/08/31,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,陳品蓁,民主進步黨,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,陳嘉弘,無黨籍,115/08/31,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,陳姿妏,無黨籍,115/08/31,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,陳致愷,無黨籍,115/09/04,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,魏志軒,無黨籍,115/09/04,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,黃大祐,民主進步黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,黃思婷,中國國民黨,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,黃政融,無黨籍,115/09/02,否,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義市,嘉義市第2選舉區,黃敏修,無黨籍,115/09/02,是,已完成登記，待中選會審定,嘉義市議會第12屆議員選舉候選人登記情形一覽表,https://web.cec.gov.tw/api/file/b53580e2-387f-450e-ad4f-25f966891c1e.pdf,2026-09-04
嘉義縣,嘉義縣第1選舉區,戴光宗,民主進步黨,115/09/01,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（9月4日）,https://web.cec.gov.tw/api/file/4c0c3569-8970-486d-a997-cf40abcc8993.pdf,2026-09-04
嘉義縣,嘉義縣第1選舉區,楊秀琴,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（9月4日）,https://web.cec.gov.tw/api/file/4c0c3569-8970-486d-a997-cf40abcc8993.pdf,2026-09-04
嘉義縣,嘉義縣第1選舉區,江佩曄,民主進步黨,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（9月4日）,https://web.cec.gov.tw/api/file/4c0c3569-8970-486d-a997-cf40abcc8993.pdf,2026-09-04
